EN_Name,FR_Name,Year,Year Finished,Date,Lat,Long,EN_Location,FR_Location,EN_Link,FR_Link
Tintin in the Land of the Soviets,Tintin au pays des Soviets,1929–1930,1930,,55.755833,37.617222,Soviet Union,Union soviétique,http://en.tintin.com/albums/show/id/25/page/0/0/tintin-in-the-land-of-the-soviets,https://www.tintin.com/fr/albums/tintin-au-pays-des-soviets
Tintin in the Congo,Tintin au Congo,1930–1931,1931,,-4.325,15.322222,Congo,Congo,http://en.tintin.com/albums/show/id/26/page/0/0/tintin-in-the-congo,https://www.tintin.com/fr/albums/tintin-au-congo
Tintin in America,Tintin en Amérique,1931–1932,1932,,40.71274,-74.005974,"Chicago, United States","Chicago, États-Unis",http://en.tintin.com/albums/show/id/27/page/0/0/tintin-in-america,
Cigars of the Pharaoh,Les Cigares du Pharaon,1932–1934,1934,1934/12/12 00:00:00,,,"Port Said, Egypt","l'Égypte, Port-Saïd, Le Caire, les pyramides, les tombeaux des pharaons, la mer Rouge, la jungle et ses éléphants.",http://en.tintin.com/albums/show/id/28/page/0/0/cigars-of-the-pharaoh,https://www.tintin.com/fr/albums/les-cigares-du-pharaon
Cigars of the Pharaoh,Les Cigares du Pharaon,1932–1934,1934,1934/12/12 00:00:00,,,India,l'Inde,http://en.tintin.com/albums/show/id/28/page/0/0/cigars-of-the-pharaoh,https://www.tintin.com/fr/albums/les-cigares-du-pharaon
The Blue Lotus,Le Lotus Bleu,1934–1935,1935,1935/12/12 00:00:00,,,China,Chine,http://en.tintin.com/albums/show/id/29/page/0/0/the-blue-lotus,https://www.tintin.com/fr/albums/le-lotus-bleu
The Broken Ear,L'Oreille cassée,1935–1937,1937,1937/12/12 00:00:00,,,Bolivia,Bolivie,http://en.tintin.com/albums/show/id/30/page/0/0/the-broken-ear,https://www.tintin.com/fr/albums/l-oreille-cassee
The Broken Ear,L'Oreille cassée,1935–1937,1937,1937/12/12 00:00:00,,,Paraguay,Paraguay,http://en.tintin.com/albums/show/id/30/page/0/0/the-broken-ear,https://www.tintin.com/fr/albums/l-oreille-cassee
The Black Island,L'Île Noire,1937–1938,1938,1938/12/12 00:00:00,,,Scotland,Scotland,http://en.tintin.com/albums/show/id/31/page/0/0/the-black-island,https://www.tintin.com/fr/albums/l-ile-noire
King Ottokar's Sceptre,Le Sceptre d'Ottokar,1938–1939,1939,1939/12/12 00:00:00,,,Prague,Prague,http://en.tintin.com/albums/show/id/32/page/0/0/king-ottokar-s-sceptre,https://www.tintin.com/fr/albums/le-sceptre-d-ottokar
King Ottokar's Sceptre,Le Sceptre d'Ottokar,1938–1939,1939,1939/12/12 00:00:00,,,Syldavie,Syldavie,http://en.tintin.com/albums/show/id/32/page/0/0/king-ottokar-s-sceptre,https://www.tintin.com/fr/albums/le-sceptre-d-ottokar
The Crab with the Golden Claws,Le Crabe aux pinces d'or,1940–1941,1941,1941/12/12 00:00:00,,,North Africa,Afrique du Nord,http://en.tintin.com/albums/show/id/33/page/0/0/the-crab-with-the-golden-claws,https://www.tintin.com/fr/albums/le-crabe-aux-pinces-d-or
The Shooting Star,L'Étoile mystérieuse,1941–1942,1942,1942/12/12 00:00:00,,,Arctic Ocean,,http://en.tintin.com/albums/show/id/34/page/0/0/the-shooting-star,https://www.tintin.com/fr/albums/l-etoile-mysterieuse
The Secret of the Unicorn,Le Secret de La Licorne,1942–1943,1943,1943/12/12 00:00:00,50.8503,4.3517,Bruxelles,,http://en.tintin.com/albums/show/id/35/page/0/0/the-secret-of-the-unicorn,https://www.tintin.com/fr/albums/le-secret-de-la-licorne
The Secret of the Unicorn,Le Secret de La Licorne,1942–1943,1943,1943/12/12 00:00:00,47.5002,1.458,Loire Valley,,http://en.tintin.com/albums/show/id/35/page/0/0/the-secret-of-the-unicorn,https://www.tintin.com/fr/albums/le-secret-de-la-licorne
Red Rackham's Treasure,Le Trésor de Rackham le Rouge,1943,1943,1943/12/12 00:00:00,,,,,http://en.tintin.com/albums/show/id/36/page/0/0/red-rackham-s-treasure,https://www.tintin.com/fr/albums/le-tresor-de-rackham-le-rouge
The Seven Crystal Balls,Les 7 Boules de cristal,1943–1946,1946,1946/12/12 00:00:00,,,,,http://en.tintin.com/albums/show/id/37/page/0/0/the-seven-crystal-balls,https://www.tintin.com/fr/albums/les-7-boules-de-cristal
Prisoners of the Sun,Le Temple du Soleil,1946–1948,1948,1948/12/12 00:00:00,-11.775,-75.5,,Perou,http://en.tintin.com/albums/show/id/38/page/0/0/prisoners-of-the-sun,https://www.tintin.com/fr/albums/le-temple-du-soleil
Land of Black Gold,Tintin au pays de l'or noir,1948–1950,1950,1950/12/12 00:00:00,,,,,http://en.tintin.com/albums/show/id/39/page/0/0/land-of-black-gold,https://www.tintin.com/fr/albums/tintin-au-pays-de-l-or-noir
Destination Moon,Objectif Lune,1950–1952,1952,1952/12/12 00:00:00,,,,Syldavie,http://en.tintin.com/albums/show/id/40/page/0/0/destination-moon,https://www.tintin.com/fr/albums/objectif-lune
Explorers on the Moon,On a marché sur la Lune,1952–1953,1953,1953/12/12 00:00:00,LOL,,,,http://en.tintin.com/albums/show/id/41/page/0/0/explorers-on-the-moon,https://www.tintin.com/fr/albums/on-a-marche-sur-la-lune
The Calculus Affair,L'Affaire Tournesol,1954–1956,1956,1956/12/12 00:00:00,,,,Syldavie,http://en.tintin.com/albums/show/id/42/page/0/0/the-calculus-affair,https://www.tintin.com/fr/albums/l-affaire-tournesol
The Red Sea Sharks,Coke en stock,1956–1958,1958,1958/12/12 00:00:00,50.8503,4.3517,,"Bruxelles, ",http://en.tintin.com/albums/show/id/43/page/0/0/the-red-sea-sharks,https://www.tintin.com/fr/albums/coke-en-stock
Tintin in Tibet,Tintin au Tibet,1958–1959,1959,1959/12/12 00:00:00,,,Tibet,Tibet,http://en.tintin.com/albums/show/id/44/page/0/0/tintin-in-tibet,https://www.tintin.com/fr/albums/tintin-au-tibet
The Castafiore Emerald,Les Bijoux de la Castafiore,1961–1962,1962,1962/12/12 00:00:00,,,,,http://en.tintin.com/albums/show/id/45/page/0/0/the-castafiore-emerald,https://www.tintin.com/fr/albums/les-bijoux-de-la-castafiore
Flight 714 to Sydney,Vol 714 pour Sydney,1966–1967,1967,1967/12/12 00:00:00,,,,,,https://www.tintin.com/fr/albums/vol-714-pour-sydney
Tintin and the Picaros,Tintin et les Picaros,1975–1976,1976,1976/12/12 00:00:00,2.874577,-58.589199,,San Theodoros,,https://www.tintin.com/fr/albums/tintin-et-les-picaros